Caption,Baseline_Method,Chosen_Method
A futuristic mechanical robot with chrome metal feathers and hydraulic wings flying. Shiny metallic ,no_prune,draw
A futuristic mechanical robot with chrome metal feathers and hydraulic wings flying. Shiny metallic ,streamv2v,prune0.149
A futuristic mechanical robot with chrome metal feathers and hydraulic wings flying. Shiny metallic ,streamdiffusion,prune0.149
A futuristic mechanical robot with chrome metal feathers and hydraulic wings flying. Shiny metallic ,controlvideo,prune0.149
"A high tech, sleek android with polished chrome plating spinning rapidly in a 360 degree pirouette. ",no_prune,no_prune
"A high tech, sleek android with polished chrome plating spinning rapidly in a 360 degree pirouette. ",streamv2v,prune0.149
"A high tech, sleek android with polished chrome plating spinning rapidly in a 360 degree pirouette. ",streamdiffusion,prune0.149
"A high tech, sleek android with polished chrome plating spinning rapidly in a 360 degree pirouette. ",controlvideo,controlvideo
"A kind baker slicing fresh fluffy bread in a sunny bakery. Vibrant colors, hand drawn texture, sunli",no_prune,draw
"A kind baker slicing fresh fluffy bread in a sunny bakery. Vibrant colors, hand drawn texture, sunli",streamv2v,streamv2v
"A kind baker slicing fresh fluffy bread in a sunny bakery. Vibrant colors, hand drawn texture, sunli",streamdiffusion,prune0.149
"A kind baker slicing fresh fluffy bread in a sunny bakery. Vibrant colors, hand drawn texture, sunli",controlvideo,prune0.149
"A majestic lion is turning its head to look around in a field. Realistic fur texture, soft sunlight ",no_prune,draw
"A majestic lion is turning its head to look around in a field. Realistic fur texture, soft sunlight ",streamv2v,prune0.149
"A majestic lion is turning its head to look around in a field. Realistic fur texture, soft sunlight ",streamdiffusion,prune0.149
"A majestic lion is turning its head to look around in a field. Realistic fur texture, soft sunlight ",controlvideo,prune0.149
A man holding up and displaying a cute plush monkey doll. The monkey is red and is holding a tree br,no_prune,prune0.149
A man holding up and displaying a cute plush monkey doll. The monkey is red and is holding a tree br,streamv2v,prune0.149
A man holding up and displaying a cute plush monkey doll. The monkey is red and is holding a tree br,streamdiffusion,prune0.149
A man holding up and displaying a cute plush monkey doll. The monkey is red and is holding a tree br,controlvideo,prune0.149
"A mediaval knight performing the classic moonwalk dance move. Wearing iconic silver armor, dark stag",no_prune,draw
"A mediaval knight performing the classic moonwalk dance move. Wearing iconic silver armor, dark stag",streamv2v,prune0.149
"A mediaval knight performing the classic moonwalk dance move. Wearing iconic silver armor, dark stag",streamdiffusion,prune0.149
"A mediaval knight performing the classic moonwalk dance move. Wearing iconic silver armor, dark stag",controlvideo,controlvideo
A medieval knight in full shining plate armor doing a headspin breakdance move in the middle of a du,no_prune,draw
A medieval knight in full shining plate armor doing a headspin breakdance move in the middle of a du,streamv2v,prune0.149
A medieval knight in full shining plate armor doing a headspin breakdance move in the middle of a du,streamdiffusion,prune0.149
A medieval knight in full shining plate armor doing a headspin breakdance move in the middle of a du,controlvideo,prune0.149
A metalic robot is spinning a drone on his finger in an old and rusty fastorcy. The fatory is dark.,no_prune,no_prune
A metalic robot is spinning a drone on his finger in an old and rusty fastorcy. The fatory is dark.,streamv2v,draw
A metalic robot is spinning a drone on his finger in an old and rusty fastorcy. The fatory is dark.,streamdiffusion,prune0.149
A metalic robot is spinning a drone on his finger in an old and rusty fastorcy. The fatory is dark.,controlvideo,controlvideo
A old man with white beard is holding and interacting with mysterious rock that has a small tree gro,no_prune,draw
A old man with white beard is holding and interacting with mysterious rock that has a small tree gro,streamv2v,prune0.149
A old man with white beard is holding and interacting with mysterious rock that has a small tree gro,streamdiffusion,prune0.149
A old man with white beard is holding and interacting with mysterious rock that has a small tree gro,controlvideo,prune0.149
"A police car drifting around a corner on a race track at night. Smoke from the tires, cinematic acti",no_prune,prune0.149
"A police car drifting around a corner on a race track at night. Smoke from the tires, cinematic acti",streamv2v,prune0.149
"A police car drifting around a corner on a race track at night. Smoke from the tires, cinematic acti",streamdiffusion,prune0.149
"A police car drifting around a corner on a race track at night. Smoke from the tires, cinematic acti",controlvideo,prune0.149
"A red fox turning its head to look around. Orange fur, forest background, bright sunlight.",no_prune,draw
"A red fox turning its head to look around. Orange fur, forest background, bright sunlight.",streamv2v,prune0.149
"A red fox turning its head to look around. Orange fur, forest background, bright sunlight.",streamdiffusion,prune0.149
"A red fox turning its head to look around. Orange fur, forest background, bright sunlight.",controlvideo,prune0.149
A robot with eyes glowing in red and turning its metallic head to look around. Sci fi and metalic st,no_prune,draw
A robot with eyes glowing in red and turning its metallic head to look around. Sci fi and metalic st,streamv2v,prune0.149
A robot with eyes glowing in red and turning its metallic head to look around. Sci fi and metalic st,streamdiffusion,prune0.149
A robot with eyes glowing in red and turning its metallic head to look around. Sci fi and metalic st,controlvideo,prune0.149
"A rusty, industrial robot arm slicing through a glowing neon blue energy bar with a vibrating laser ",no_prune,no_prune
"A rusty, industrial robot arm slicing through a glowing neon blue energy bar with a vibrating laser ",streamv2v,prune0.149
"A rusty, industrial robot arm slicing through a glowing neon blue energy bar with a vibrating laser ",streamdiffusion,prune0.149
"A rusty, industrial robot arm slicing through a glowing neon blue energy bar with a vibrating laser ",controlvideo,prune0.149
"A rusty, truck drifting through a desert. Dust kicking up, harsh sunlight, simple sandy terrain.",no_prune,draw
"A rusty, truck drifting through a desert. Dust kicking up, harsh sunlight, simple sandy terrain.",streamv2v,prune0.149
"A rusty, truck drifting through a desert. Dust kicking up, harsh sunlight, simple sandy terrain.",streamdiffusion,prune0.149
"A rusty, truck drifting through a desert. Dust kicking up, harsh sunlight, simple sandy terrain.",controlvideo,prune0.149
"A tough biker with tattoos and a denim vest riding a chopper motorcycle, stretching his arms wide. G",no_prune,draw
"A tough biker with tattoos and a denim vest riding a chopper motorcycle, stretching his arms wide. G",streamv2v,prune0.149
"A tough biker with tattoos and a denim vest riding a chopper motorcycle, stretching his arms wide. G",streamdiffusion,prune0.149
"A tough biker with tattoos and a denim vest riding a chopper motorcycle, stretching his arms wide. G",controlvideo,prune0.149
"A vibrant red racer drifting on a simple grey asphalt track. Thick black outlines, bold flat colors,",no_prune,prune0.149
"A vibrant red racer drifting on a simple grey asphalt track. Thick black outlines, bold flat colors,",streamv2v,prune0.149
"A vibrant red racer drifting on a simple grey asphalt track. Thick black outlines, bold flat colors,",streamdiffusion,prune0.149
"A vibrant red racer drifting on a simple grey asphalt track. Thick black outlines, bold flat colors,",controlvideo,prune0.149
"A white sea gull flapping its wings in a dark blue night sky. Illuminated by cool white moonlight, f",no_prune,no_prune
"A white sea gull flapping its wings in a dark blue night sky. Illuminated by cool white moonlight, f",streamv2v,prune0.149
"A white sea gull flapping its wings in a dark blue night sky. Illuminated by cool white moonlight, f",streamdiffusion,prune0.149
"A white sea gull flapping its wings in a dark blue night sky. Illuminated by cool white moonlight, f",controlvideo,prune0.149
A woman holding and examining a delicate orchid flower. Clean living room background.,no_prune,prune0.149
A woman holding and examining a delicate orchid flower. Clean living room background.,streamv2v,prune0.149
A woman holding and examining a delicate orchid flower. Clean living room background.,streamdiffusion,prune0.149
A woman holding and examining a delicate orchid flower. Clean living room background.,controlvideo,prune0.149
A woman wearing a black leather jacket riding a motorcycle while stretching her arms out joyfully. R,no_prune,draw
A woman wearing a black leather jacket riding a motorcycle while stretching her arms out joyfully. R,streamv2v,prune0.149
A woman wearing a black leather jacket riding a motorcycle while stretching her arms out joyfully. R,streamdiffusion,prune0.149
A woman wearing a black leather jacket riding a motorcycle while stretching her arms out joyfully. R,controlvideo,prune0.149
"A young anime protagonist riding a sleek bike with arms outstretched. 2D animation style, speed line",no_prune,draw
"A young anime protagonist riding a sleek bike with arms outstretched. 2D animation style, speed line",streamv2v,prune0.149
"A young anime protagonist riding a sleek bike with arms outstretched. 2D animation style, speed line",streamdiffusion,prune0.149
"A young anime protagonist riding a sleek bike with arms outstretched. 2D animation style, speed line",controlvideo,prune0.149
"A young girl, with long hair, is performing side somersaults, warm sunlight.",no_prune,prune0.149
"A young girl, with long hair, is performing side somersaults, warm sunlight.",streamv2v,prune0.149
"A young girl, with long hair, is performing side somersaults, warm sunlight.",streamdiffusion,prune0.149
"A young girl, with long hair, is performing side somersaults, warm sunlight.",controlvideo,prune0.149
"A young woman with long hair wearing a pink gaming headset turning her head. Soft studio lighting, w",no_prune,prune0.149
"A young woman with long hair wearing a pink gaming headset turning her head. Soft studio lighting, w",streamv2v,prune0.149
"A young woman with long hair wearing a pink gaming headset turning her head. Soft studio lighting, w",streamdiffusion,prune0.149
"A young woman with long hair wearing a pink gaming headset turning her head. Soft studio lighting, w",controlvideo,prune0.149
"An ancient wizard in a dark hooded robe turning his head. Long white beard, eyes glowing with intens",no_prune,prune0.149
"An ancient wizard in a dark hooded robe turning his head. Long white beard, eyes glowing with intens",streamv2v,prune0.149
"An ancient wizard in a dark hooded robe turning his head. Long white beard, eyes glowing with intens",streamdiffusion,prune0.149
"An ancient wizard in a dark hooded robe turning his head. Long white beard, eyes glowing with intens",controlvideo,draw
"An astronaut performing the moonwalk dance move on the moon surface. Reflective chrome body, sci fi ",no_prune,prune0.149
"An astronaut performing the moonwalk dance move on the moon surface. Reflective chrome body, sci fi ",streamv2v,prune0.149
"An astronaut performing the moonwalk dance move on the moon surface. Reflective chrome body, sci fi ",streamdiffusion,prune0.149
"An astronaut performing the moonwalk dance move on the moon surface. Reflective chrome body, sci fi ",controlvideo,controlvideo
"An astronaut with a helmet is spinning the moon on his finger, with the universe in the background.",no_prune,no_prune
"An astronaut with a helmet is spinning the moon on his finger, with the universe in the background.",streamv2v,prune0.149
"An astronaut with a helmet is spinning the moon on his finger, with the universe in the background.",streamdiffusion,prune0.149
"An astronaut with a helmet is spinning the moon on his finger, with the universe in the background.",controlvideo,controlvideo
Anime style animation of a frog dancing and performing acrobatic side somersaults. Vibrant cel shade,no_prune,prune0.149
Anime style animation of a frog dancing and performing acrobatic side somersaults. Vibrant cel shade,streamv2v,prune0.149
Anime style animation of a frog dancing and performing acrobatic side somersaults. Vibrant cel shade,streamdiffusion,prune0.149
Anime style animation of a frog dancing and performing acrobatic side somersaults. Vibrant cel shade,controlvideo,prune0.149
"Close up of a carpenter's hands using a handsaw to cut through a piece of raw timber, sawdust fallin",no_prune,draw
"Close up of a carpenter's hands using a handsaw to cut through a piece of raw timber, sawdust fallin",streamv2v,prune0.149
"Close up of a carpenter's hands using a handsaw to cut through a piece of raw timber, sawdust fallin",streamdiffusion,prune0.149
"Close up of a carpenter's hands using a handsaw to cut through a piece of raw timber, sawdust fallin",controlvideo,prune0.149
"Cows and small calves grazing in a green grassy field. Sunny day, realistic nature photography.",no_prune,draw
"Cows and small calves grazing in a green grassy field. Sunny day, realistic nature photography.",streamv2v,prune0.149
"Cows and small calves grazing in a green grassy field. Sunny day, realistic nature photography.",streamdiffusion,prune0.149
"Cows and small calves grazing in a green grassy field. Sunny day, realistic nature photography.",controlvideo,prune0.149
"Dancers floating and tumbling in a ball room. Dim artificial lighting, close up shot.",no_prune,draw
"Dancers floating and tumbling in a ball room. Dim artificial lighting, close up shot.",streamv2v,prune0.149
"Dancers floating and tumbling in a ball room. Dim artificial lighting, close up shot.",streamdiffusion,prune0.149
"Dancers floating and tumbling in a ball room. Dim artificial lighting, close up shot.",controlvideo,draw
"Goat with long horns and lambs in a green grassy field. Sunny day, realistic nature photography.",no_prune,prune0.149
"Goat with long horns and lambs in a green grassy field. Sunny day, realistic nature photography.",streamv2v,draw
"Goat with long horns and lambs in a green grassy field. Sunny day, realistic nature photography.",streamdiffusion,prune0.149
"Goat with long horns and lambs in a green grassy field. Sunny day, realistic nature photography.",controlvideo,controlvideo
"Long horns and calves gathering in a farmyard by a huge tree. Warm lighting, dirt ground.",no_prune,no_prune
"Long horns and calves gathering in a farmyard by a huge tree. Warm lighting, dirt ground.",streamv2v,prune0.149
"Long horns and calves gathering in a farmyard by a huge tree. Warm lighting, dirt ground.",streamdiffusion,prune0.149
"Long horns and calves gathering in a farmyard by a huge tree. Warm lighting, dirt ground.",controlvideo,prune0.149
Mermaid swimming and floating underwater in the blue sea. Serene and joyful atmosphere.,no_prune,prune0.149
Mermaid swimming and floating underwater in the blue sea. Serene and joyful atmosphere.,streamv2v,draw
Mermaid swimming and floating underwater in the blue sea. Serene and joyful atmosphere.,streamdiffusion,prune0.149
Mermaid swimming and floating underwater in the blue sea. Serene and joyful atmosphere.,controlvideo,draw
"People swimming and floating underwater in a clear blue pool. Caustic light reflections, serene atmo",no_prune,prune0.149
"People swimming and floating underwater in a clear blue pool. Caustic light reflections, serene atmo",streamv2v,prune0.149
"People swimming and floating underwater in a clear blue pool. Caustic light reflections, serene atmo",streamdiffusion,prune0.149
"People swimming and floating underwater in a clear blue pool. Caustic light reflections, serene atmo",controlvideo,draw
"Three cute tigers eating together. Flat cel shading, vibrant pastel colors.",no_prune,prune0.149
"Three cute tigers eating together. Flat cel shading, vibrant pastel colors.",streamv2v,prune0.149
"Three cute tigers eating together. Flat cel shading, vibrant pastel colors.",streamdiffusion,prune0.149
"Three cute tigers eating together. Flat cel shading, vibrant pastel colors.",controlvideo,prune0.149
"Three majestic lions huddled together feasting on a meal. Realistic texture, golden hour sunlight, d",no_prune,no_prune
"Three majestic lions huddled together feasting on a meal. Realistic texture, golden hour sunlight, d",streamv2v,prune0.149
"Three majestic lions huddled together feasting on a meal. Realistic texture, golden hour sunlight, d",streamdiffusion,prune0.149
"Three majestic lions huddled together feasting on a meal. Realistic texture, golden hour sunlight, d",controlvideo,prune0.149
"Two cute, fluffy penguins wearing winter scarves waddling across a frozen ice path in Antarctica. So",no_prune,prune0.149
"Two cute, fluffy penguins wearing winter scarves waddling across a frozen ice path in Antarctica. So",streamv2v,prune0.149
"Two cute, fluffy penguins wearing winter scarves waddling across a frozen ice path in Antarctica. So",streamdiffusion,prune0.149
"Two cute, fluffy penguins wearing winter scarves waddling across a frozen ice path in Antarctica. So",controlvideo,controlvideo
"Two female judo athletes wearing white gi uniforms competing on a tatami mat, one executing a perfec",no_prune,no_prune
"Two female judo athletes wearing white gi uniforms competing on a tatami mat, one executing a perfec",streamv2v,prune0.149
"Two female judo athletes wearing white gi uniforms competing on a tatami mat, one executing a perfec",streamdiffusion,prune0.149
"Two female judo athletes wearing white gi uniforms competing on a tatami mat, one executing a perfec",controlvideo,prune0.149
"Two playful monkeys wearing small colored belts wrestling, with one monkey throwing the other down. ",no_prune,prune0.149
"Two playful monkeys wearing small colored belts wrestling, with one monkey throwing the other down. ",streamv2v,prune0.149
"Two playful monkeys wearing small colored belts wrestling, with one monkey throwing the other down. ",streamdiffusion,prune0.149
"Two playful monkeys wearing small colored belts wrestling, with one monkey throwing the other down. ",controlvideo,prune0.149
"Two sleek, metallic combat robots wrestling, with one robot throwing the other to the metal floor. S",no_prune,draw
"Two sleek, metallic combat robots wrestling, with one robot throwing the other to the metal floor. S",streamv2v,prune0.149
"Two sleek, metallic combat robots wrestling, with one robot throwing the other to the metal floor. S",streamdiffusion,prune0.149
"Two sleek, metallic combat robots wrestling, with one robot throwing the other to the metal floor. S",controlvideo,controlvideo
Two weary knights in silver plate armor walking across a cobblestone drawbridge toward a medieval ca,no_prune,prune0.149
Two weary knights in silver plate armor walking across a cobblestone drawbridge toward a medieval ca,streamv2v,prune0.149
Two weary knights in silver plate armor walking across a cobblestone drawbridge toward a medieval ca,streamdiffusion,prune0.149
Two weary knights in silver plate armor walking across a cobblestone drawbridge toward a medieval ca,controlvideo,prune0.149
"Two weathered, rusty robots walking side by side across a old city. Heavy rain, reflections on metal",no_prune,prune0.149
"Two weathered, rusty robots walking side by side across a old city. Heavy rain, reflections on metal",streamv2v,prune0.149
"Two weathered, rusty robots walking side by side across a old city. Heavy rain, reflections on metal",streamdiffusion,prune0.149
"Two weathered, rusty robots walking side by side across a old city. Heavy rain, reflections on metal",controlvideo,prune0.149
"three corgi puppies sharing a meal together on a kitchen floor. Shallow depth of field with a soft, ",no_prune,draw
"three corgi puppies sharing a meal together on a kitchen floor. Shallow depth of field with a soft, ",streamv2v,prune0.149
"three corgi puppies sharing a meal together on a kitchen floor. Shallow depth of field with a soft, ",streamdiffusion,prune0.149
"three corgi puppies sharing a meal together on a kitchen floor. Shallow depth of field with a soft, ",controlvideo,prune0.149
